X,Y,fid,BAC,BARef,PDC,PrimDesc,UARN,Add1,St,Postcode,Field16,RV,SCAT,SCATnocode,Sector,Sub-sector,SCat_Desc,Easting,Northing,LAName,Rural_Urban_Classification_(2011)_of_Lower_Layer_Super_Output_Areas_in_England_and_Wales_RUC11CD,Rural_Urban_Classification_(2011)_of_Lower_Layer_Super_Output_Areas_in_England_and_Wales_RUC11,icon_url
-0.505542026465713,51.5200229431462,"48","410","309580001780",MP,POLICE STATION AND PREMISES,"571925162",THE POLICE STATION,HIGH STREET,SL0 9ND,,"12500",215S,"215",Other,OTHER - OFFICES,Police Stations,"503786","181181",South Bucks,D1,Rural town and fringe,./2.png
-0.602239495767391,51.6762625586658,"49","415",30368605000T,MP,POLICE STATION AND PREMISES,"571919162",THAMES VALLEY POLICE DIVISIONAL HEADQUARTERS,CHILTERN AVENUE,HP6 5AH,,"154000",215S,"215",Other,OTHER - OFFICES,Police Stations,"496745","198424",Chiltern,C1,Urban city and town,./0.png
-0.610103359977282,51.7089870224526,"50","415",74081800510T,MP,POLICE STATION AND PREMISES,"571920162",THAMES VALLEY POLICE AUTHORITY,BROAD STREET,HP5 3EA,,"12750",215S,"215",Other,OTHER - OFFICES,Police Stations,"496132","202053",Chiltern,C1,Urban city and town,./0.png
-0.92367004506692,51.4276896529812,"51","360","00424000003108",MP,POLICE STATION AND PREMISES,"322609000",LODDON VALLEY POLICE STATION,RUSHEY WAY,RG6 4PS,,"495000",215S,"215",Other,OTHER - OFFICES,Police Stations,"474927","170403",Wokingham,C1,Urban city and town,./0.png
-0.862366627040251,51.4762877249194,"52","360",01645000001A07,MP,POLICE STATION AND PREMISES,"490021165",AT,STATION ROAD,RG10 9NG,,"5700",215S,"215",Other,OTHER - OFFICES,Police Stations,"479105","175872",Wokingham,D1,Rural town and fringe,./2.png
-0.671679313911996,51.4101694754464,"53","355","2890250084005",MP,POLICE STATION AND PREMISES,"490009165",ASCOT POLICE STATION,HIGH STREET,SL5 7HE,,"35250",215S,"215",Other,OTHER - OFFICES,Police Stations,"492481","168742",Windsor and Maidenhead,C1,Urban city and town,./0.png
-0.616540555415707,51.476711886925,"54","355","2255610126009",MP,POLICE STATION AND PREMISES,"490008165",POLICE STATION,ALMA ROAD,SL4 3EZ,,"236000",215S,"215",Other,OTHER - OFFICES,Police Stations,"496176","176213",Windsor and Maidenhead,C1,Urban city and town,./0.png
-0.704424033347053,51.523385902908,"55","355","1004500173002",MP,POLICE STATION AND PREMISES,"490007165",POLICE STATION,BRIDGE ROAD,SL6 8DG,,"198000",215S,"215",Other,OTHER - OFFICES,Police Stations,"489981","181292",Windsor and Maidenhead,C1,Urban city and town,./0.png
-0.606415212453258,51.4838755977959,"56","355","1227228017101",MP,POLICE STATION AND PREMISES,"4223501000",GARDEN HOUSE OFFICES,ROYAL MEWS,SL4 1NJ,,"53500",215S,"215",Other,OTHER - OFFICES,Police Stations,"496864","177023",Windsor and Maidenhead,C1,Urban city and town,./0.png
-0.576670462360548,51.4830957628911,"57","355","1237459000802",MP,POLICE STATION AND PREMISES,"4085997000","8",HORTON ROAD,SL3 9ER,,"1050",215S,"215",Other,OTHER - OFFICES,Police Stations,"498931","176976",Windsor and Maidenhead,D1,Rural town and fringe,./2.png
0.068525883510857,52.5449242896769,"58","515",60070POLI00,MP,POLICE STATION AND PREMISES,"449922012",POLICE STATION,BURROWMOOR ROAD,PE15 0YX,,"68000",215S,"215",Other,OTHER - OFFICES,Police Stations,"540368","296129",Fenland,C1,Urban city and town,./0.png
0.170296778352103,52.672290931913,"59","515",10286POLI00,MP,POLICE STATION AND PREMISES,"449925012",POLICE STATION,LYNN ROAD,PE13 3DZ,,"41750",215S,"215",Other,OTHER - OFFICES,Police Stations,"546842","310497",Fenland,C1,Urban city and town,./0.png
-0.708931672699511,51.6513625962529,"60","425","992714030220",MP,POLICE STATION AND PREMISES,"860926000",HAZLEMERE POLICE OFFICE 20,PENN ROAD,HP15 7LR,,"4550",215S,"215",Other,OTHER - OFFICES,Police Stations,"489417","195519",Wycombe,C1,Urban city and town,./0.png
-0.832857596069131,51.7271368432424,"61","425","987875030100",MP,POLICE STATION AND PREMISES,"572091162",POLICE STATION,LONGWICK ROAD,HP27 9HE,,"4450",215S,"215",Other,OTHER - OFFICES,Police Stations,"480709","203802",Wycombe,D1,Rural town and fringe,./2.png
-0.749729529536579,51.6274903116531,"62","425","994354030160",MP,POLICE STATION AND PREMISES,"572088162",THAMES VALLEY CONSTABULARY,QUEEN VICTORIA ROAD,HP11 1BE,,"84000",215S,"215",Other,OTHER - OFFICES,Police Stations,"486640","192815",Wycombe,C1,Urban city and town,./0.png
-0.778887745599561,51.74297115337,"63","425","981474030010",MP,POLICE STATION AND PREMISES,"1511913000",CHEQUERS,,HP17 0UZ,,"7600",215S,"215",Other,OTHER - OFFICES,Police Stations,"484407","205624",Wycombe,E1,Rural village and dispersed,./1.png
-0.727593333876174,52.0857978842455,"64","435","073327",MP,POLICE STATION AND PREMISES,"571985162",THAMES VALLEY POLICE AUTHORITY,HIGH STREET,MK16 8EH,,"20250",215S,"215",Other,OTHER - OFFICES,Police Stations,"487282","243813",Milton Keynes,C1,Urban city and town,./0.png
-0.819666919180686,52.0622010971185,"65","435","072834",MP,POLICE STATION AND PREMISES,"571986162",THAMES VALLEY POLICE AUTHORITY,STRATFORD ROAD,MK12 5LX,,"23750",215S,"215",Other,OTHER - OFFICES,Police Stations,"481016","241082",Milton Keynes,C1,Urban city and town,./0.png
-0.79618038652014,52.0047081032667,"66","435","082899",MP,POLICE STATION AND PREMISES,"571989162","8",WIMBORNE CRESCENT,MK4 4DB,,"5500",215S,"215",Other,OTHER - OFFICES,Police Stations,"482732","234714",Milton Keynes,C1,Urban city and town,./0.png
-0.76492262073551,52.0394141384508,"67","435","072609",MP,POLICE STATION AND PREMISES,"572308162",THAMES VALLEY POLICE,WITAN GATE EAST,MK9 2HP,,"437500",215S,"215",Other,OTHER - OFFICES,Police Stations,"484812","238610",Milton Keynes,C1,Urban city and town,./0.png
-0.737583905134571,51.9944292172318,"68","435","085015",MP,POLICE STATION AND PREMISES,"1445600000",THAMES VALLEY POLICE AUTHORITY,SHERWOOD DRIVE,MK3 6DS,,"54000",215S,"215",Other,OTHER - OFFICES,Police Stations,"486774","233639",Milton Keynes,C1,Urban city and town,./0.png
-1.1868642273727,54.6591544003303,"69","724","8239091224",MP,POLICE STATION AND PREMISES,"3595670000",ROCKET HOUSE,THE FRONT,TS25 1BU,,"1225",215S,"215",Other,OTHER - OFFICES,Police Stations,"452554","529644",Hartlepool,C1,Urban city and town,./0.png
-1.20511760363709,54.6865418385049,"70","724","8116090456",MP,POLICE STATION AND PREMISES,"322389102",CLEVELAND POLICE AUTH. 9,CHURCH STREET,TS24 7DJ,,"4150",215S,"215",Other,OTHER - OFFICES,Police Stations,"451342","532678",Hartlepool,C1,Urban city and town,./0.png
-1.21571756326533,54.6862693752956,"71","724","8023599913",MP,POLICE STATION AND PREMISES,"322363102",POLICE STATION,AVENUE ROAD,TS24 8BB,,"127000",215S,"215",Other,OTHER - OFFICES,Police Stations,"450659","532640",Hartlepool,C1,Urban city and town,./0.png
0.264607437990751,52.4035536060473,"72","510","901000285153",MP,POLICE STATION AND PREMISES,"392219012",POLICE STATION,LYNN ROAD,CB6 1DD,,"35750",215S,"215",Other,OTHER - OFFICES,Police Stations,"554156","280806",East Cambridgeshire,C1,Urban city and town,./0.png
-0.196123136638604,52.3303367106014,"73","520",01E6TRPOLI000S,MP,POLICE STATION AND PREMISES,"449944012",CAMBS COUNTY CONSTABULARY HQ,BRAMPTON ROAD,PE29 6NP,,"785000",215S,"215",Other,OTHER - OFFICES,Police Stations,"523019","271781",Huntingdonshire,C1,Urban city and town,./0.png
-0.188754684675833,52.3325167481644,"74","520",01E6DHPOLI000L,MP,POLICE STATION AND PREMISES,"449945012",HUNTINGDON POLICE STATION,FERRARS ROAD,PE29 3DQ,,"80500",215S,"215",Other,OTHER - OFFICES,Police Stations,"523515","272036",Huntingdonshire,C1,Urban city and town,./0.png
-0.112314334890836,52.4476139277315,"75","520",64D1ALPOLI000S,MP,PROPERTY UNDER REDEVELOPMENT,"449948012",POLICE STATION,BLENHEIM ROAD,PE26 1AL,28/11/2018 00:00:00,"0",215S,"215",Other,OTHER - OFFICES,Police Stations,"528389","284970",Huntingdonshire,D1,Rural town and fringe,./2.png
-0.262628161020148,52.2311974395857,"76","520",24F1DSSTNE000T,MP,POLICE STATION AND PREMISES,"449950012",ST NEOTS POLICE STATION,DOVEHOUSE CLOSE,PE19 1DS,,"27250",215S,"215",Other,OTHER - OFFICES,Police Stations,"518752","260644",Huntingdonshire,C1,Urban city and town,./0.png
-0.072456544973522,52.3284014595065,"77","520",49D4PUPOLI00SM,MP,POLICE STATION AND PREMISES,"9408947000",POLICE STATION,BROAD LEAS,PE27 5QB,,"15000",215S,"215",Other,OTHER - OFFICES,Police Stations,"531451","271783",Huntingdonshire,C1,Urban city and town,./0.png
0.16696084808796,52.1285868314536,"78","530","3791308000",MP,POLICE STATION AND PREMISES,"4135154000",SAWSTON POLICE STATION,CAMBRIDGE ROAD,CB22 3DG,,"53000",215S,"215",Other,OTHER - OFFICES,Police Stations,"548429","250023",South Cambridgeshire,D1,Rural town and fringe,./2.png
0.111637431225167,52.2454246046251,"79","530","3567008010",MP,POLICE STATION AND PREMISES,"819574000",POLICE STATION,MOWLAM CLOSE,CB24 9NA,,"43000",215S,"215",Other,OTHER - OFFICES,Police Stations,"544264","262905",South Cambridgeshire,C1,Urban city and town,./0.png
